"claim_id","question_id","claim","status","source_type","source_identifier","study_design","population_age","sample","exposure_context","comparator","endpoint_window","quantitative_result","limitations","research_implication"
"CLN-011","Q3","upright tilt 실험은 DS군의 자율신경 조절 반응 차이를 관찰했다.","LIMITED_EVIDENCE","Original physiological study","PMID 20307953; DOI 10.1016/j.ridd.2010.03.002","Small comparative physiology study","Individuals with and without DS","26 DS; 11 controls","5-minute rest and 5-minute upright tilt","Controls","10-minute protocol","Reduced normalized HF/LF/LF-HF responses and smaller BRS change reported","Small; non-anesthesia; posture and respiration confounding","Supports dynamic rather than resting-only hypothesis."
"HRV-001","Q4","전통적 short-term HRV 표준은 안정된 약 5분 구간을 중심으로 정의되었다.","VERIFIED_CLINICAL_EVIDENCE","Consensus standard","PMID 8598068","Task Force consensus","General","Not applicable","Stationary ECG","Not applicable","Approximately 5-minute short-term recordings","No patient event rate","1996 standard; anesthesia nonstationarity not specifically validated","Five-minute metrics are reference features; shorter windows need metric-specific validation."
"HRV-002","Q4","LF/HF는 단순한 sympathovagal balance 지표로 정확히 해석할 수 없다.","VERIFIED_CLINICAL_EVIDENCE","Physiology review","PMID 23431279; DOI 10.3389/fphys.2013.00026","Critical review","General","Not applicable","HRV frequency-domain interpretation","Not applicable","Not applicable","No single numeric effect","LF has mixed determinants; HF depends strongly on respiration; ratio inherits both problems","UI must not label LF/HF as a direct sympathetic/parasympathetic balance."
"HRV-003","Q4","건강인 ultra-short 연구에서는 RMSSD가 일부 짧은 구간에서 재현 가능했지만 SDNN과 spectral 지표는 같은 방식으로 일반화되지 않았다.","LIMITED_EVIDENCE","Original methods study","PMID 21496161; DOI 10.1111/j.1542-474X.2011.00417.x","Reliability study","Healthy adults","70 participants","Resting ECG","Longer reference segments","Metric-specific short windows","RMSSD reliable in tested ultra-short setting; SDNN not equivalently reliable","Healthy/resting setting; anesthesia artifacts and nonstationarity absent","Only validated metric/window combinations may enter feature registry."
"HRV-004","Q4","주파수영역 HRV는 짧은 구간에서 정확도가 특히 떨어질 수 있다.","LIMITED_EVIDENCE","Original methods study","PMID 16960742; DOI 10.1007/s11517-006-0097-2","Segment-duration reliability study","General ECG dataset","Study-specific","Resting/recorded ECG","Longer segments","Multiple durations","Low-frequency metrics were poorly accurate below approximately 10 minutes in tested data","Not anesthesia-specific; technology and preprocessing differ","LF/HF must be suppressed when duration/stationarity requirements fail."
"HRV-005","Q4","paced breathing은 ultra-short HRV 값과 신뢰도에 영향을 준다.","LIMITED_EVIDENCE","Original methods study","PMID 29863781; DOI 10.1111/anec.12565","Reliability study","Healthy adults","20 participants","Resting ECG with controlled breathing","Spontaneous vs paced breathing","Ultra-short windows","RMSSD/SD1 comparatively more reliable; controlled breathing changed measurements","Healthy/resting; small sample","Ventilation state and respiratory rate must be covariates/quality context."
"HRV-006","Q4","2026 resting 연구는 coarse frequency-domain 추정에도 지표별 최소 길이가 다름을 보였다.","LIMITED_EVIDENCE","Original methods study","PMID 41946377; DOI 10.1088/1361-6579/ae5c54","Empirical/simulation methods study","Healthy resting data","Study-specific","Resting HRV","Reference duration","Multiple simulated durations","Approximate coarse estimates reported near 60 s for HF and 100 s for LF; narrower agreement required about 200 s HF and 290 s LF","New study; resting healthy setting; not anesthesia or DS","Treat as sensitivity-analysis input only; do not turn these durations into clinical cutoffs."
"GEN-001","Q2","현재 근거는 모든 마취제·모든 연령·모든 마취 단계에서 동일한 DS 위험을 입증하지 않는다.","UNSUPPORTED_OR_REJECTED","Evidence-boundary synthesis","PMID 40376277; PMID 21109130; PMID 20736433; PMID 40704557","Cross-study scope audit","Mostly children; one children/young adult sedation cohort","Heterogeneous","Main positive studies center on sevoflurane induction or procedural sedation","Heterogeneous comparators","Heterogeneous","No universal effect estimate exists","Sparse drug- and age-specific comparative data","Product language must name the studied context and avoid universalization."
"GEN-002","Q8","Atropine hypersensitivity in DS is not sufficiently supported for a product claim or protocol rule.","UNSUPPORTED_OR_REJECTED","Targeted evidence review","No qualifying modern comparative source identified in reviewed seed set as of 2026-09-02","Evidence gap","DS population","Not established","Anesthesia","Not established","Not established","No verified quantitative estimate","Absence in reviewed evidence is not proof of absence; clinical pharmacology review remains required","Do not display or encode atropine-specific sensitivity claims."
"GEN-003","Q8","구체적 마취제 감량 비율이나 특정 약물 우선 사용은 이 연구 문서의 근거로 지지되지 않는다.","UNSUPPORTED_OR_REJECTED","Targeted evidence review","No qualifying source identifier for a universal percentage or preferred-drug rule","Evidence gap","DS population","Not established","Anesthesia/sedation","Not established","Not established","No verified quantitative estimate","Regimen- and patient-specific confounding; treatment research outside Path B","No dose or drug recommendation feature is permitted."
"GEN-004","Q9","제품 필요성은 DS 환자에서 특정 맥락의 생리 변화가 관찰되었고 개인별 신호 궤적을 검증할 데이터가 부족하다는 연구 격차로만 설명한다.","RESEARCH_HYPOTHESIS","Synthesis","PMID 40376277; PMID 40704557; PMID 30005737; DOI 10.1038/s41597-022-01411-5","Evidence synthesis","Target DS cohort not yet collected","Not applicable","RUO shadow monitoring","Not applicable","Not applicable","No claimed efficacy","Public datasets do not establish DS-specific calibration or clinical utility","Use neutral RUO wording and prospective silent validation."
